序號	Band	BW	ARFCN	測試類型	iPerf方向	測試秒數	設定開始時間	設定完成時間	UE連線狀態	PHY DL Mbps	PHY UL Mbps	iPerf平均 Mbps	iPerf最低 Mbps	iPerf最高 Mbps	傳輸量 MB	Download 平均 Mbps	Download 最低 Mbps	Download 最高 Mbps	Download 傳輸量 MB	Upload 平均 Mbps	Upload 最低 Mbps	Upload 最高 Mbps	Upload 傳輸量 MB	結果	錯誤原因
51	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T16:18:05+08:00	2026-08-05T16:23:49+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
52	1A-3A	20+20	300+1575	PHY			2026-08-05T16:24:19+08:00	2026-08-05T16:30:04+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
53	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T16:30:35+08:00	2026-08-05T16:36:18+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
54	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T16:36:51+08:00	2026-08-05T16:42:35+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
55	3A	20	1575	PHY			2026-08-05T16:43:05+08:00	2026-08-05T16:48:48+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
56	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T16:49:21+08:00	2026-08-05T16:55:04+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
57	1A-3A	20+20	300+1575	PHY			2026-08-05T16:55:36+08:00	2026-08-05T17:01:14+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
58	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T17:01:46+08:00	2026-08-05T17:07:28+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
59	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T17:07:59+08:00	2026-08-05T17:13:40+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
60	3A	20	1575	PHY			2026-08-05T17:14:11+08:00	2026-08-05T17:19:52+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
